hhid,rgid,villid,hhLocX,hhLocY,hhElev,hhLandOwn,hhLandPlant,areaCcfp,ifCcfp,ifCcfpO
1425,127,2,377802.3464,3455398.553,676,7.255827,7.255827,11.56181469,1,1
1426,127,2,377736.3081,3455418.544,677,4.854882,4.854882,0,0,0
1427,127,2,378035.1885,3455267.235,696,1.286174,1.286174,9.231119963,1,1
1429,127,2,377800.5809,3455070.008,668,6.944512,6.6559,3.712117454,1,1
1430,127,2,378694.4116,3455101.57,704,4.816314,2.559968,0,0,0
1431,133,2,379088.5143,3455174.456,710,8.850161,6.915344,0,0,0
1432,133,2,379310.7878,3455233.017,741,1.180188,1.180188,0,0,0
1433,133,2,378675.8843,3455080.82,704,4.896686,4.039649,0,0,0
1434,133,2,379074.0036,3455350.473,743,10.972121,10.972121,0,0,0
1436,133,2,379081.6403,3455385.914,743,10.129693,10.129693,0,0,0
1437,133,2,379089.724,3455393.243,739,0.191264,0,0,0,0
1438,133,2,379049.8745,3455204.102,715,5.457708,5.457708,0,0,0
1439,133,2,378709.6084,3455143.347,704,1.296762,1.000957,0,0,0
1440,133,2,379132.3924,3455222.861,716,2.47091,2.47091,0,0,0
1441,133,2,379048.33,3455208.795,713,7.81105,7.81105,0,0,0
1442,133,2,379017.5167,3455217.852,715,7.535814,5.190016,0,0,0
1443,133,2,379072.7463,3455187.227,713,1.811907,1.811907,0,0,0
1444,133,2,378671.3101,3455134.595,707,9.463082,7.431585,6.447605402,1,1
1445,133,2,379024.9735,3455184.586,713,6.432999,6.432999,0,0,0
1446,133,2,378701.7278,3455036.747,707,3.413823,3.413823,0,0,0
1447,133,2,379048.2731,3455138.555,710,3.563895,3.563895,0,0,0
1448,133,2,378911.0001,3455321.288,754,9.511115,6.762473,0,0,0
1449,133,2,379033.6608,3455348.206,749,1.176532,1.176532,0,0,0
1450,133,2,378952.5909,3455384.087,751,0.343373,0,0,0,0
1451,133,2,378705.0998,3455054.755,707,2.103511,2.103511,0,0,0
1452,133,2,378929.611,3455383.906,754,7.082352,5.28758,0,0,0
1454,133,2,378991.3154,3455388.953,754,9.910801,9.910801,0,0,0
1455,133,2,378836.3806,3454864.673,675,1.147695,0,3.758968498,1,1
1456,133,2,379011.2329,3455278.825,723,0,0,0,0,0
1457,133,2,378969.6466,3455352.427,751,2.541445,2.541445,0,0,0
1458,133,2,378816.8972,3454824.965,675,9.011608,9.011608,0,0,0
1459,133,2,379045.9981,3455190.998,714,3.134914,3.134914,0,0,0
1460,126,2,376584.2609,3454015.46,693,5.560411,3.92485,3.09211471,1,1
1462,126,2,377076.3115,3454069.381,686,12.576229,12.576229,0,0,0
1463,126,2,377248.9948,3453772.873,691,2.46188,0.406569,0,0,0
1464,126,2,377244.3606,3453817.719,693,6.544189,5.630134,0,0,0
1466,126,2,377229.3081,3454105.732,683,1.878444,0,0,0,0
1467,126,2,377041.2712,3454022.79,686,5.59656,3.145536,0,0,0
1468,126,2,377336.5896,3453827.18,693,2.288125,2.288125,10.00389278,1,1
1469,126,2,377266.6921,3453807.195,690,5.888358,5.888358,0,0,0
1470,126,2,377260.8476,3453793.857,693,7.67446,7.67446,0,0,0
1471,126,2,377301.5125,3453830.735,691,2.947911,0.796788,0,0,0
1472,126,2,377235.455,3453801.963,693,0,0,0,0,0
1473,126,2,377138.9791,3453617.09,717,2.47352,2.47352,0,0,0
1475,126,2,377016.6219,3453612.696,728,5.124816,5.124816,0,0,0
1476,126,2,376979.792,3453542.359,731,1.070814,1.070814,0,0,0
1477,126,2,376897.7037,3454086.984,689,6.565995,6.565995,0,0,0
1478,126,2,377040.2611,3453883.03,698,4.698075,4.698075,0,0,0
1479,126,2,377007.0412,3453884.454,694,1.620109,1.620109,11.261075,1,1
1480,126,2,376980.5505,3453898.595,694,2.727597,2.727597,0,0,0
1481,126,2,376840.9149,3453548.011,739,6.55756,5.258274,0,0,0
1482,126,2,376803.0058,3454050.263,688,2.315912,2.315912,0,0,0
1483,126,2,376986.0217,3454033.77,686,1.232442,1.232442,0,0,0
1484,126,2,376590.4438,3453768.607,733,0.469276,0.469276,0,0,0
1485,126,2,377174.3029,3454185.004,704,0.707001,0,0,0,0
1486,126,2,377047.6555,3454101.435,687,4.306758,0,1.195753587,1,1
1487,126,2,376555.3078,3453935.718,695,10.014504,4.422592,1.657115821,1,1
1488,126,2,376695.5923,3454067.168,691,5.221957,4.304292,0,0,0
1489,126,2,376634.9151,3454041.225,694,2.158901,2.158901,0,0,0
1490,126,2,376559.8224,3453997.957,697,6.195934,6.195934,4.225476923,1,1
1491,126,2,376800.7558,3454125.092,690,2.18789,2.18789,0,0,0
1492,126,2,377403.5979,3454100.421,680,2.021119,0.697346,0,0,0
1494,126,2,376909.1714,3454099.337,694,4.486927,4.486927,0,0,0
1495,126,2,376915.4607,3454155.796,695,10.399177,10.399177,0,0,0
1496,126,2,376868.2895,3454106.965,689,3.14376,3.14376,0,0,0
1497,126,2,377076.1411,3454009.798,687,0.9904,0.9904,0,0,0
1498,126,2,377102.3357,3454043.082,687,4.708448,1.781453,0,0,0
1499,126,2,377376.5057,3454084.877,684,4.488574,3.443215,0,0,0
1500,126,2,377216.539,3454462.321,710,5.160896,5.160896,0,0,0
1501,126,2,377311.1418,3454397.168,710,1.414285,1.414285,4.248997083,1,1
1503,126,2,376841.5583,3454120.933,691,9.410088,9.410088,2.842292681,1,1
1504,126,2,377264.8434,3454057.348,684,5.928693,2.795594,0,0,0
1505,126,2,377379.809,3454112.85,683,2.341346,2.341346,0,0,0
1506,126,2,377359.2727,3454074.124,683,0.421517,0.421517,0,0,0
1507,126,2,376597.7219,3453799.841,737,1.527859,1.527859,0,0,0
1508,126,2,376599.5007,3453969.026,695,1.507968,0.57998,0,0,0
1509,126,2,376840.9289,3454152.628,695,1.11281,1.11281,0,0,0
